City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
676,Sao Jose Da Coroa Grande,BR,75.43,scattered clouds,-8.8978,-35.1478,Crôa Mares Hotel
678,Muli,MV,82.13,overcast clouds,2.9167,73.5667,Medhufushi Island Resort
679,Ishigaki,JP,84.33,few clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
685,Port-Gentil,GA,77.4,broken clouds,-0.7193,8.7815,Fengshui Residence
686,Kismayo,SO,78.73,scattered clouds,-0.3582,42.5454,Agan-Hotel
690,Batticaloa,LK,82.29,overcast clouds,7.7102,81.6924,Grand Star Guest House
691,Pacific Grove,US,77.4,clear sky,36.6177,-121.9166,Lovers Point Inn
692,Lazaro Cardenas,MX,80.73,overcast clouds,17.9583,-102.2,quinta antigua
700,Sulphur,US,82.38,scattered clouds,30.2366,-93.3774,Fairfield Inn & Suites by Marriott Lake Charles Sulphur
702,Thai Binh,VN,82.4,scattered clouds,20.45,106.3333,Sweden Hotel
705,Qeshm,IR,84.09,clear sky,26.9581,56.2719,Qeshm Kavan Hotel
706,Tomatlan,MX,77.92,overcast clouds,19.9333,-105.25,El Salvial
708,Tavares,US,81.0,clear sky,28.8042,-81.7256,"Holiday Inn Express & Suites Tavares - Leesburg, an IHG Hotel"
709,Boone,US,82.87,clear sky,39.0334,-92.3335,Cottonwoods RV Park
712,Iberia,US,79.05,few clouds,29.9502,-91.7507,back to back rv park
713,Urucui,BR,84.4,scattered clouds,-7.2294,-44.5561,Hotel Premium Piauí
714,La Asuncion,VE,80.51,broken clouds,11.0333,-63.8628,Colinas de Matasiete
