City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
259,Pasni,PK,25.2631,63.471,83.34,66,14,8.28,few clouds
260,Sistranda,NO,63.7256,8.834,62.91,67,97,36.15,light rain
261,Upernavik,GL,72.7868,-56.1549,25.27,57,58,4.36,broken clouds
262,Izhma,RU,65.0083,53.9113,39.15,73,100,4.34,overcast clouds
263,Iqaluit,CA,63.7506,-68.5145,31.73,86,75,5.99,broken clouds
264,Thayetmyo,MM,19.3167,95.1833,74.07,98,100,2.39,overcast clouds
265,Parczew,PL,51.6402,22.9006,45.25,88,6,9.22,clear sky
266,Chokwe,MZ,-24.5333,32.9833,75.27,40,95,8.34,overcast clouds
267,Torbay,CA,47.6666,-52.7314,61.27,92,90,14.97,overcast clouds
268,Woodward,US,36.4337,-99.3904,85.23,37,1,9.22,clear sky
269,Castro,BR,-24.7911,-50.0119,67.19,67,22,5.37,few clouds
270,Saldanha,ZA,-33.0117,17.9442,56.3,78,0,11.5,clear sky
271,Grand Gaube,MU,-20.0064,57.6608,70.38,72,35,5.99,scattered clouds
272,Missoula,US,47.0166,-113.8009,75.52,25,13,2.89,few clouds
273,Saint George,US,37.1041,-113.5841,88.39,29,1,1.01,clear sky
274,Yulara,AU,-25.2406,130.9889,75.04,22,1,9.22,clear sky
275,Lagoa,PT,39.05,-27.9833,68.32,77,92,17.72,overcast clouds
276,Sao Joao Da Barra,BR,-21.6403,-41.0511,72.68,87,71,15.48,broken clouds
277,Ponta Do Sol,PT,32.6667,-17.1,72.23,71,25,4.47,scattered clouds
278,Bozoum,CF,6.3193,16.3799,67.33,96,99,2.62,overcast clouds
279,Bonavista,CA,48.6499,-53.1147,62.11,90,92,15.99,overcast clouds
280,Lompoc,US,34.6391,-120.4579,72.1,82,90,11.5,mist
281,Axim,GH,4.8699,-2.2405,76.37,91,100,6.04,light rain
282,Boras,SE,57.721,12.9401,55.54,94,100,12.44,moderate rain
283,Melbourne,US,28.0836,-80.6081,81.05,69,1,1.01,clear sky
284,Thompson,CA,55.7435,-97.8558,53.76,82,75,6.91,broken clouds
285,Sao Filipe,CV,14.8961,-24.4956,79.79,79,9,6.44,clear sky
286,Peterhead,GB,57.5058,-1.7981,46.11,84,2,16.75,clear sky
287,Vila Velha,BR,-20.3297,-40.2925,75.15,83,75,11.5,broken clouds
288,Muriwai Beach,NZ,-36.8167,174.45,60.8,71,35,11.7,scattered clouds
289,Esperance,AU,-33.8667,121.9,55.24,82,92,16.35,overcast clouds
290,Upata,VE,8.0086,-62.3989,72.0,91,51,3.69,broken clouds
291,Nizwa,OM,22.9333,57.5333,79.95,57,70,1.48,broken clouds
292,Kalino,RU,58.2504,57.6085,32.65,89,8,6.82,clear sky
293,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,84.25,36,8,9.37,clear sky
294,Lagunas,PE,-5.2269,-75.6753,82.36,59,90,1.59,overcast clouds
295,Puerto Colombia,CO,10.9878,-74.9547,84.29,87,18,17.45,few clouds
296,Klaebu,NO,63.2976,10.4826,59.25,67,67,18.9,broken clouds
297,Illkirch-Graffenstaden,FR,48.5289,7.7152,59.09,88,0,2.3,clear sky
298,Ucluelet,CA,48.9329,-125.5528,58.08,86,95,1.01,overcast clouds
299,Bilma,NE,18.6853,12.9164,85.69,20,5,7.56,clear sky
300,Churachandpur,IN,24.3333,93.6667,64.69,95,56,2.91,broken clouds
301,Wenling,CN,28.3669,121.36,80.91,85,5,3.71,clear sky
302,Okha,RU,53.5739,142.9478,55.67,95,100,12.62,light rain
303,Guerrero Negro,MX,27.9769,-114.0611,71.08,65,8,16.31,clear sky
304,Kraksaan,ID,-7.7585,113.3962,80.98,65,91,7.83,overcast clouds
305,New Norfolk,AU,-42.7826,147.0587,58.75,65,92,3.22,overcast clouds
306,Abha,SA,18.2164,42.5053,62.42,23,0,4.61,clear sky
307,Gusau,NG,12.1628,6.6614,75.56,71,8,7.58,clear sky
